SENDER,RECP_NAME,AMOUNT,CURRENCY,TYPE,TIME
company C,ec34e592e6508c69a435bba963b6d8e5,31000.0,HUF,tax,2019-04-12 08:19:26.300
company D,eb3148273c690d66a28a20c0ee3bb1a8,1059000.0,HUF,tax,2019-04-10 10:16:19.243
company D,5029da084f46c8f2ec86353d67e9e4de,682000.0,HUF,tax,2019-04-10 10:16:19.260
company D,3385e3aee5200cdae234b81d743b7e77,579000.0,HUF,tax,2019-04-10 10:16:19.250
company D,62d44bd8cad3afbb28194b7ed93b6874,1288000.0,HUF,tax,2019-04-10 10:16:19.287
company D,a187c5e82f60fd6017468236b690e986,102000.0,HUF,tax,2019-04-10 10:16:19.277
company D,d4ae5af5ee2f79bf8f8290ddae07dc41,33000.0,HUF,tax,2019-04-10 10:16:19.350
company D,54eb230d60ade748b43f630cbb57a2c0,129675.0,HUF,other,2019-04-03 09:06:34.717
company D,554caa7e8646c54ab1abcd74565d3f14,99085.0,HUF,other,2019-04-03 09:06:34.703
company D,54eb230d60ade748b43f630cbb57a2c0,129675.0,HUF,salary,2019-04-10 10:15:06.793
company D,554caa7e8646c54ab1abcd74565d3f14,99085.0,HUF,salary,2019-04-10 10:15:06.740
company D,9935a831765f7e6da441da36b3c63615,150000.0,HUF,salary,2019-04-10 10:15:06.807
company D,2223334c0fd7219eba9b366d78588d76,32698.0,HUF,tax,2019-04-03 09:41:05.187
company D,13cacdef09566e82b700eaf5f4cd6a13,138000.0,HUF,salary,2019-04-10 10:15:06.767
company D,6cec11d5c58b2ce4a7e2c966dfddae77,129675.0,HUF,salary,2019-04-10 10:15:06.927
company D,4e869a621e8025b5005123b352ffacab,85362.0,HUF,salary,2019-04-10 10:15:07.010
company D,5ac69c614f4c677e7a6f4fded4552054,59479.0,HUF,salary,2019-04-10 10:15:06.863
company D,752719edb735f5d315baf9b3bf060d60,4758.0,HUF,salary,2019-04-10 10:15:06.890
company D,a812933e3ba65d86228b94e4490c6e81,153383.0,HUF,salary,2019-04-10 10:15:06.823
company D,6655a1edc8edd239e90cd532ac27df2b,133000.0,HUF,salary,2019-04-10 10:15:07.000
company D,a200b7fad50111e79eb8caa6149be0df,350455.0,HUF,salary,2019-04-10 10:15:06.880
company D,9941e0605a2d82325062ebc6d48312f6,129675.0,HUF,salary,2019-04-10 10:15:06.957
company D,b5d8ba0928d985e14ccd2168e8b3d164,500001.0,HUF,salary,2019-04-10 10:15:06.900
company D,066d24be76d30970e27980a75e717668,831250.0,HUF,salary,2019-04-10 10:15:06.917
company D,afca46458a6076342d0b9cbb54106b9a,210007.0,HUF,salary,2019-04-10 10:15:07.043
company D,b32314825ccf104d9d494f5df864088f,610122.0,HUF,other,2019-03-01 09:18:37.107
company C,de8ac76f0c7d87f1c4ce2a0942828497,24201.0,HUF,other,2019-03-19 10:37:39.800
company C,a0e86de99f874940f1b911bb5015d0ea,91440.0,HUF,invoice,2019-03-19 10:45:43.057
company D,9316fa998598e637d75bd511810131f8,50000.0,HUF,other,2019-03-19 10:56:47.510
company D,467deb4618cdc83494bfbcc8884189a7,60985.0,HUF,other,2019-04-04 09:57:24.070
company D,0792ce55b303b62b3c8d1355416a389e,181162.0,HUF,other,2019-04-04 14:42:18.963
company D,06d6a1272fab2c27e57f8c92a4ebe598,14656.0,HUF,other,2019-04-15 09:58:12.623
company D,f930c36f78132980abb7880fa2634535,221385.0,HUF,other,2019-04-16 09:46:45.217
company D,f930c36f78132980abb7880fa2634535,62810.0,HUF,other,2019-04-04 14:44:20.943
company D,b32314825ccf104d9d494f5df864088f,1210122.0,HUF,other,2019-03-01 09:10:27.393
company B,2618ef17e143358a97fd7176299b6287,6350.0,HUF,invoice,2019-05-09 15:12:40.087
company D,2904def68817ff30dce448293c8513ac,2476500.0,HUF,other,2019-03-04 10:30:27.397
company D,2904def68817ff30dce448293c8513ac,1587500.0,HUF,other,2019-03-04 10:30:27.390
company D,9dbb054cbdd560f1855003ee0aeea900,508000.0,HUF,other,2019-03-04 11:05:02.830
company D,c376417626b83db49d1e0d5c2481a0ba,1000000.0,HUF,other,2019-03-04 11:05:02.823
company D,9dbf53be16b891d64e6b4155587a605d,14071000.0,HUF,tax,2019-04-23 09:21:04.067
company D,bdd7967f3be15b614a2d3f940c5076be,7050.0,HUF,other,2019-04-04 11:43:37.460
company D,aa21c4ef38566787a811238ff4b437f8,134675.0,HUF,salary,2019-04-10 10:15:07.023
company D,5228b6e075f86a22b50611743db903d4,129675.0,HUF,salary,2019-04-10 10:15:07.083
company D,5f05ece6eceb9a7060e824722eb10381,100016.0,HUF,salary,2019-04-10 10:15:07.077
company D,d5195d323da76eede3a59fd53bd52ad2,99085.0,HUF,salary,2019-04-10 10:15:07.017
company D,81f7f3312925c378dbddf640c3eb01e3,129675.0,HUF,salary,2019-04-10 10:15:07.137
company D,3b2fefcf70b0c53683e88e2f554ab018,299250.0,HUF,salary,2019-04-10 10:15:07.163
company D,3038dffb088c5d289dad8029046477a0,10614922.0,HUF,other,2019-02-05 10:03:54.357
company D,0792ce55b303b62b3c8d1355416a389e,135871.0,HUF,other,2019-02-05 10:03:54.457
company D,4ea72862349ec66706027007cf37b723,52500.0,HUF,other,2019-02-05 10:03:54.247
company D,54eb230d60ade748b43f630cbb57a2c0,129675.0,HUF,salary,2019-02-08 09:59:13.490
company D,50d14d3f7d5e552b046b2858fc1ab5f2,129675.0,HUF,salary,2019-02-08 09:59:13.497
company D,13cacdef09566e82b700eaf5f4cd6a13,138000.0,HUF,salary,2019-02-08 09:59:13.510
company D,093746b99c6c817e8148afd91ee3d9e8,54712.0,HUF,salary,2019-02-08 09:59:13.537
company D,6cec11d5c58b2ce4a7e2c966dfddae77,129675.0,HUF,salary,2019-02-08 09:59:13.560
company D,4e869a621e8025b5005123b352ffacab,116003.0,HUF,salary,2019-02-08 09:59:13.527
